,strat_id,init_cash,macd.fast_period,macd.slow_period,macd.signal_period,macd.sma_period,macd.dir_period,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
10,51,1000000,12,19,9,10,7,0.702640292,0.000169515,0.043643355,4.364335542,331,12.04236536,276433.7461,"AutoOrderedDict([('len', 2474), ('drawdown', 60.56763114321154), ('moneydown', 1171519.744140625)])",60.56763114,2474,0.270523198,1019076.63,2019076.628,102,0.539215686,55,47,65228.00545,6.522800545,-54648.16323,-5.464816323,403822.9863,40.38229863,-531482.417,-53.1482417
11,49,1000000,12,19,9,5,14,0.70171418,0.000169292,0.043584596,4.358459571,192,16.8179764,407844.7285,"AutoOrderedDict([('len', 1799), ('drawdown', 53.61726646695413), ('moneydown', 934029.658203125)])",53.61726647,1799,0.275971295,1017207.6,2017207.602,91,0.593406593,54,37,68811.96669,6.881196669,-72936.17837,-7.293617837,365363.6543,36.53636543,-635306.9463,-63.53069463
12,7,1000000,8,13,18,5,14,0.670530906,0.000161769,0.041608019,4.160801862,192,17.44350089,413133.3516,"AutoOrderedDict([('len', 1800), ('drawdown', 54.00833978309749), ('moneydown', 957438.4785156249)])",54.00833978,1800,0.260021424,955275.11,1955275.113,93,0.580645161,54,39,70367.2964,7.03672964,-72937.4075,-7.29374075,407738.7539,40.77387539,-649105.7871,-64.91057871
13,9,1000000,8,13,18,10,7,0.656864588,0.000158472,0.040742948,4.07429482,177,12.0039381,263107.4688,"AutoOrderedDict([('len', 2487), ('drawdown', 60.59718722872656), ('moneydown', 1220664.3603515625)])",60.59718723,2487,0.25149406,928735.46,1928735.463,103,0.533980583,55,48,66296.17022,6.629617022,-56615.70624,-5.661570624,463978.582,46.3978582,-553324.1602,-55.33241602
14,36,1000000,12,13,9,5,7,0.652331007,0.000157378,0.040456134,4.04561338,425,18.06137328,423219.6699,"AutoOrderedDict([('len', 1077), ('drawdown', 52.93067687097383), ('moneydown', 913351.07421875)])",52.93067687,1077,0.262990521,920011.18,1920011.177,91,0.56043956,51,40,76831.43677,7.683143677,-74959.80247,-7.495980247,398617.5156,39.86175156,-291293.3115,-29.12933115
15,52,1000000,12,19,9,10,14,0.64893494,0.000156558,0.040241335,4.024133531,192,19.91799967,475926.2637,"AutoOrderedDict([('len', 1794), ('drawdown', 57.6863192417376), ('moneydown', 1015766.748046875)])",57.68631924,1794,0.253079854,913501.75,1913501.749,82,0.634146341,52,30,68808.34529,6.880834529,-88817.7402,-8.88177402,365363.6543,36.53636543,-480302.8799,-48.03028799
16,10,1000000,8,13,18,10,14,0.647256431,0.000156154,0.040135187,4.013518736,192,19.94478664,475926.2637,"AutoOrderedDict([('len', 1797), ('drawdown', 57.991099887924186), ('moneydown', 1055135.58984375)])",57.99109989,1797,0.248882922,910292.61,1910292.613,83,0.638554217,53,30,69151.56613,6.915156613,-91824.67972,-9.182467972,414768.7324,41.47687324,-502360.0928,-50.23600928
17,66,1000000,12,26,18,5,7,0.630821309,0.000152188,0.039096412,3.909641169,39,5.588564437,111234.082,"AutoOrderedDict([('len', 1567), ('drawdown', 29.88157035910469), ('moneydown', 556524.4375)])",29.88157036,1567,0.292517194,879153.31,1879153.312,22,0.545454545,12,9,112722.731,11.2722731,-48135.09961,-4.813509961,327463.7178,32.74637178,-123555.8242,-12.35558242
18,11,1000000,8,13,18,10,21,0.628736188,0.000151685,0.038964697,3.896469659,425,11.38413995,240904.7852,"AutoOrderedDict([('len', 1796), ('drawdown', 56.025497061664716), ('moneydown', 1011420.193359375)])",56.02549706,1796,0.24074622,875239.13,1875239.132,62,0.629032258,39,23,79515.6884,7.95156884,-96777.0746,-9.67770746,414768.7324,41.47687324,-516921.2549,-51.69212549
19,2,1000000,8,13,9,5,21,0.622560555,0.000150196,0.038574686,3.857468569,425,19.61542463,454778.166,"AutoOrderedDict([('len', 1369), ('drawdown', 58.0553834990419), ('moneydown', 889710.244140625)])",58.0553835,1369,0.254210024,863694.03,1863694.029,70,0.671428571,47,23,66576.54309,6.657654309,-98495.80418,-9.849580418,270777.6367,27.07776367,-389753.6563,-38.97536563
