strat_id,init_cash,buy_prop,sell_prop,macd.fast_period,macd.slow_period,macd.signal_period,macd.sma_period,macd.dir_period,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
38,1000000,1,1,3,16,9,5,21,1684026.075,76,0.644736842,49,27,63167.982,6.3167982,-89303.89048,-8.930389048,276430,27.643,-375979.166,-37.5979166
12,1000000,1,1,3,10,18,10,7,1682105.607,116,0.594827586,69,47,56051.45774,5.605145774,-67775.42503,-6.777542503,276050.3516,27.60503516,-394729.2129,-39.47292129
118,1000000,1,1,8,10,18,5,14,1676610.237,95,0.568421053,54,41,68541.69367,6.854169367,-73771.73709,-7.377173709,355578.25,35.557825,-721534.8584,-72.15348584
149,1000000,1,1,8,16,9,10,21,1676000.828,63,0.666666667,42,21,73376.81471,7.337681471,-114563.1138,-11.45631138,412853.8555,41.28538555,-498979.876,-49.8979876
29,1000000,1,1,3,13,18,5,21,1662830.753,71,0.647887324,46,25,63317.27985,6.331727985,-89990.5648,-8.99905648,235015.8398,23.50158398,-389644.5967,-38.96445967
69,1000000,1,1,5,10,18,20,7,1652451.886,70,0.657142857,46,24,63454.06571,6.345406571,-94434.79736,-9.443479736,261128.7109,26.11287109,-410152.207,-41.0152207
11,1000000,1,1,3,10,18,5,21,1649684.272,72,0.652777778,47,25,64262.83561,6.426283561,-94826.76004,-9.482676004,253667.8906,25.36678906,-352260.0596,-35.22600596
39,1000000,1,1,3,16,9,10,7,1648069.838,114,0.649122807,74,40,47186.22015,4.718622015,-71092.76133,-7.109276133,264583,26.4583,-400792.832,-40.0792832
63,1000000,1,1,5,10,18,5,7,1646298.419,124,0.524193548,65,59,50638.01104,5.063801104,-44833.42879,-4.483342879,201442.1484,20.14421484,-247492.6563,-24.74926563
142,1000000,1,1,8,13,18,20,14,1644964.027,58,0.603448276,35,23,73932.52104,7.393252104,-84464.09604,-8.446409604,379618.8398,37.96188398,-478015.6191,-47.80156191
158,1000000,1,1,8,16,18,10,21,1640200.742,63,0.603174603,38,25,72681.41005,7.268141005,-84867.71359,-8.486771359,339724.0996,33.97240996,-441229.7119,-44.12297119
109,1000000,1,1,8,10,9,5,14,1639956.914,101,0.574257426,58,43,53174.7711,5.31747711,-56841.39092,-5.684139092,208902.9688,20.89029688,-399738.2031,-39.97382031
148,1000000,1,1,8,16,9,10,14,1635766.762,85,0.635294118,54,31,64851.21976,6.485121976,-92458.03566,-9.245803566,412853.8555,41.28538555,-603591.9414,-60.35919414
